Time to vote:2054.17ms
i:279 p:3542 n:435 a:28
i:280 p:1664 n:202 a:18
i:281 p:1986 n:531 a:19
i:282 p:1716 n:587 a:5
i:283 p:1655 n:291 a:21
i:284 p:1986 n:544 a:19
i:285 p:2060 n:527 a:2
i:286 p:1986 n:512 a:22
i:287 p:3522 n:174 a:6
i:288 p:1 n:264 a:7
i:289 p:151 n:330 a:21
i:290 p:590 n:218 a:18
i:291 p:1787 n:356 a:28
i:292 p:2934 n:225 a:25
i:293 p:354 n:164 a:24
i:294 p:2199 n:185 a:0
i:295 p:1713 n:179 a:11
i:296 p:551 n:220 a:11
i:297 p:1856 n:252 a:27
i:298 p:1572 n:227 a:25
i:299 p:1853 n:226 a:20
i:300 p:3489 n:259 a:27
i:301 p:2144 n:675 a:17
i:302 p:3589 n:232 a:25
i:303 p:2089 n:509 a:2
i:304 p:1716 n:550 a:6
i:305 p:1700 n:314 a:17
i:306 p:1700 n:224 a:17
i:307 p:3037 n:228 a:0
i:308 p:3463 n:205 a:13
i:309 p:3020 n:232 a:22
i:310 p:1827 n:159 a:7
i:311 p:789 n:181 a:8
i:312 p:2199 n:188 a:1
i:313 p:2608 n:185 a:19
i:314 p:2220 n:188 a:4
i:315 p:2631 n:206 a:24
i:316 p:2017 n:521 a:5
i:317 p:2090 n:325 a:9
i:318 p:1699 n:302 a:28
i:319 p:3548 n:358 a:27
i:320 p:1583 n:283 a:28
i:321 p:1649 n:344 a:5
i:322 p:1635 n:322 a:20
i:323 p:2045 n:214 a:14
i:324 p:3603 n:405 a:5
i:325 p:3588 n:334 a:26
i:326 p:1959 n:113 a:6
i:327 p:2085 n:100 a:26
i:328 p:2603 n:160 a:19
i:329 p:2448 n:206 a:19
i:330 p:2223 n:196 a:4
i:331 p:2473 n:269 a:24
i:332 p:2060 n:300 a:9
i:333 p:751 n:212 a:19
i:334 p:1920 n:373 a:19
i:335 p:1658 n:605 a:2
i:336 p:2066 n:285 a:19
i:337 p:1583 n:259 a:28
i:338 p:775 n:173 a:0
i:339 p:3588 n:328 a:23
i:340 p:3627 n:269 a:16
i:341 p:1635 n:143 a:15
i:342 p:2076 n:130 a:4
i:343 p:2444 n:209 a:19
i:344 p:1 n:201 a:1
i:345 p:2031 n:362 a:15
i:346 p:1666 n:287 a:25
i:347 p:2213 n:280 a:5
i:348 p:1842 n:363 a:18
i:349 p:1659 n:261 a:3
i:350 p:2134 n:106 a:24
i:351 p:3625 n:299 a:14
i:352 p:3302 n:208 a:4
i:353 p:3255 n:376 a:21
i:354 p:723 n:115 a:17
i:355 p:2209 n:203 a:26
i:356 p:2220 n:240 a:9
i:357 p:2263 n:188 a:22
i:358 p:1695 n:296 a:3
i:359 p:2097 n:115 a:25
i:360 p:3623 n:259 a:17
i:361 p:3244 n:271 a:10
i:362 p:3154 n:292 a:5
i:363 p:3088 n:343 a:10
i:364 p:899 n:273 a:11
i:365 p:885 n:249 a:11
i:366 p:2221 n:390 a:26
i:367 p:2066 n:326 a:11
i:368 p:1729 n:107 a:20
i:369 p:2217 n:66 a:12
i:370 p:3141 n:260 a:19
i:371 p:3160 n:328 a:10
i:372 p:3088 n:422 a:11
i:373 p:2928 n:197 a:29
i:374 p:1278 n:216 a:27
i:375 p:1159 n:236 a:17
i:376 p:1028 n:278 a:18
i:377 p:2216 n:312 a:27
i:378 p:1292 n:79 a:14
i:379 p:3141 n:293 a:19
i:380 p:3090 n:162 a:11
i:381 p:3026 n:146 a:4
i:382 p:2963 n:399 a:11
i:383 p:2837 n:239 a:5
i:384 p:548 n:225 a:10
i:385 p:653 n:262 a:13
i:386 p:1716 n:566 a:4
i:387 p:2144 n:563 a:19
i:388 p:3182 n:199 a:20
i:389 p:3090 n:241 a:11
i:390 p:2846 n:144 a:18
i:391 p:2954 n:369 a:10
i:392 p:2796 n:214 a:5
i:393 p:2694 n:260 a:25
i:394 p:1732 n:349 a:8
i:395 p:2231 n:114 a:9
i:396 p:1575 n:458 a:24
i:397 p:2144 n:635 a:17
i:398 p:1716 n:255 a:4
i:399 p:1716 n:494 a:4
i:400 p:3024 n:168 a:21
i:401 p:3057 n:131 a:2
i:402 p:2963 n:192 a:5
i:403 p:2798 n:181 a:19
i:404 p:2785 n:391 a:13
i:405 p:2729 n:262 a:9
i:406 p:2684 n:247 a:10
i:407 p:2096 n:374 a:24
i:408 p:1666 n:351 a:5
i:409 p:1650 n:248 a:2
i:410 p:2196 n:221 a:14
i:411 p:1799 n:440 a:20
i:412 p:3586 n:257 a:26
i:413 p:3597 n:126 a:10
i:414 p:1908 n:185 a:20
i:415 p:2615 n:162 a:18
i:416 p:2551 n:163 a:5
i:417 p:2380 n:133 a:1
i:418 p:2092 n:449 a:23
i:419 p:1693 n:410 a:10
i:420 p:2192 n:227 a:14
i:421 p:1699 n:286 a:26
i:422 p:2196 n:285 a:13
i:423 p:1699 n:238 a:27
i:424 p:3618 n:338 a:9
i:425 p:1827 n:211 a:4
i:426 p:2085 n:135 a:23
i:427 p:2533 n:363 a:13
i:428 p:2524 n:374 a:11
i:429 p:2090 n:516 a:22
i:430 p:2090 n:451 a:21
i:431 p:2125 n:221 a:18
i:432 p:2268 n:294 a:20
i:433 p:1650 n:335 a:0
i:434 p:1729 n:441 a:2
i:435 p:1716 n:363 a:1
i:436 p:1693 n:326 a:0
i:437 p:1893 n:230 a:7
i:438 p:3625 n:321 a:7
i:439 p:3610 n:240 a:20
i:440 p:2170 n:156 a:2
i:441 p:2085 n:280 a:22
i:442 p:2474 n:336 a:11
i:443 p:2085 n:358 a:20
i:444 p:2263 n:133 a:17
i:445 p:2085 n:309 a:4
i:446 p:2032 n:338 a:15
i:447 p:3535 n:503 a:19
i:448 p:2098 n:355 a:11
i:449 p:2246 n:284 a:23
i:450 p:1659 n:464 a:1
i:451 p:3603 n:283 a:28
i:452 p:4 n:165 a:18
i:453 p:2218 n:155 a:22
i:454 p:2089 n:455 a:4
i:455 p:1583 n:453 a:20
i:456 p:1842 n:331 a:19
i:457 p:984 n:292 a:25
i:458 p:3602 n:200 a:17
i:459 p:666 n:206 a:6
i:460 p:1730 n:259 a:7
i:461 p:2091 n:485 a:5
i:462 p:1716 n:371 a:29
i:463 p:347 n:249 a:25
i:464 p:971 n:143 a:10
i:465 p:1859 n:316 a:28
i:466 p:2246 n:305 a:25
i:467 p:2218 n:335 a:28
i:468 p:2031 n:288 a:22
i:469 p:3604 n:108 a:9
i:470 p:3597 n:170 a:5
i:471 p:969 n:261 a:11
i:472 p:1695 n:370 a:25
i:473 p:3606 n:92 a:17
i:474 p:3618 n:154 a:14
i:475 p:628 n:195 a:6
i:476 p:1635 n:284 a:7
i:477 p:3595 n:106 a:19
i:478 p:3597 n:171 a:2
i:479 p:3627 n:122 a:20
i:480 p:2089 n:514 a:21
i:481 p:1572 n:435 a:6
i:482 p:403 n:139 a:3
i:483 p:3063 n:154 a:6
i:484 p:3058 n:406 a:3
i:485 p:3602 n:361 a:6
i:486 p:2085 n:498 a:19
i:487 p:2243 n:131 a:19
i:488 p:3101 n:393 a:2
i:489 p:3019 n:411 a:21
i:490 p:2932 n:260 a:6
i:491 p:3529 n:537 a:7
i:492 p:3559 n:499 a:7
i:493 p:3556 n:510 a:19
i:494 p:2222 n:66 a:6
i:495 p:3064 n:478 a:2
i:496 p:2978 n:274 a:25
i:497 p:2837 n:318 a:2
i:498 p:3369 n:349 a:7
i:499 p:3469 n:503 a:7
i:500 p:3596 n:218 a:7
i:501 p:1575 n:92 a:10
i:502 p:2975 n:316 a:2
i:503 p:2984 n:214 a:25
i:504 p:3263 n:340 a:6
i:505 p:2747 n:160 a:24
i:506 p:2692 n:301 a:2
i:507 p:3437 n:414 a:7
i:508 p:3499 n:251 a:7
i:509 p:1827 n:337 a:23
i:510 p:1827 n:237 a:23
i:511 p:1988 n:262 a:22
i:512 p:1716 n:51 a:22
i:513 p:3019 n:102 a:28
i:514 p:1781 n:72 a:18
i:515 p:3180 n:219 a:7
i:516 p:3244 n:294 a:23
i:517 p:2695 n:201 a:19
i:518 p:3253 n:179 a:27
i:519 p:3291 n:140 a:17
i:520 p:2203 n:149 a:1
i:521 p:3376 n:192 a:5
i:522 p:1853 n:362 a:24
i:523 p:1575 n:291 a:29
i:524 p:1585 n:446 a:9
i:525 p:1568 n:423 a:13
i:526 p:2084 n:286 a:25
