Time to vote:3010.43ms
i:343 p:14 n:1247 a:1
i:344 p:3523 n:871 a:9
i:345 p:418 n:1277 a:3
i:346 p:1575 n:757 a:9
i:347 p:574 n:841 a:17
i:348 p:613 n:856 a:17
i:349 p:3584 n:765 a:9
i:350 p:514 n:798 a:14
i:351 p:3495 n:713 a:24
i:352 p:12 n:767 a:8
i:353 p:466 n:516 a:20
i:354 p:3463 n:683 a:9
i:355 p:873 n:568 a:19
i:356 p:3299 n:549 a:6
i:357 p:25 n:2186 a:3
i:358 p:2139 n:2096 a:17
i:359 p:2163 n:2342 a:17
i:360 p:2068 n:1581 a:17
i:361 p:1716 n:1426 a:16
i:362 p:2161 n:2332 a:17
i:363 p:2034 n:1878 a:16
i:364 p:1716 n:1578 a:16
i:365 p:25 n:2750 a:2
i:366 p:2147 n:2278 a:17
i:367 p:2067 n:1141 a:16
i:368 p:2192 n:2744 a:17
i:369 p:2135 n:2268 a:16
i:370 p:639 n:853 a:8
i:371 p:1716 n:2298 a:17
i:372 p:7 n:2813 a:2
i:373 p:2068 n:1784 a:15
i:374 p:427 n:2680 a:1
i:375 p:455 n:3286 a:1
i:376 p:2197 n:2849 a:17
i:377 p:639 n:1037 a:6
i:378 p:408 n:3044 a:1
i:379 p:452 n:3822 a:1
i:380 p:2179 n:2752 a:16
i:381 p:407 n:3336 a:1
i:382 p:452 n:3901 a:1
i:383 p:405 n:3467 a:1
i:384 p:641 n:231 a:12
i:385 p:508 n:380 a:13
i:386 p:1575 n:908 a:7
i:387 p:2017 n:785 a:24
i:388 p:742 n:626 a:12
i:389 p:3624 n:575 a:3
i:390 p:2022 n:707 a:14
i:391 p:3583 n:879 a:9
i:392 p:2250 n:510 a:1
i:393 p:2021 n:1019 a:15
i:394 p:3627 n:853 a:5
i:395 p:753 n:635 a:24
i:396 p:454 n:909 a:14
i:397 p:3622 n:773 a:7
i:398 p:3595 n:751 a:2
i:399 p:3602 n:1020 a:2
i:400 p:612 n:810 a:16
i:401 p:3367 n:451 a:23
i:402 p:3324 n:536 a:20
i:403 p:1716 n:1377 a:17
i:404 p:2964 n:517 a:17
i:405 p:1573 n:776 a:8
i:406 p:3169 n:562 a:17
i:407 p:1716 n:1374 a:17
i:408 p:2189 n:2643 a:17
i:409 p:1716 n:1583 a:17
i:410 p:2182 n:2781 a:16
i:411 p:585 n:766 a:17
i:412 p:2198 n:2962 a:16
i:413 p:7 n:2995 a:1
i:414 p:3304 n:348 a:12
i:415 p:606 n:393 a:12
i:416 p:3340 n:494 a:13
i:417 p:528 n:357 a:13
i:418 p:3623 n:927 a:26
i:419 p:3627 n:1085 a:29
i:420 p:1716 n:818 a:25
i:421 p:3411 n:589 a:24
i:422 p:653 n:558 a:18
i:423 p:1654 n:603 a:2
i:424 p:404 n:1176 a:2
i:425 p:753 n:698 a:24
i:426 p:3602 n:616 a:2
i:427 p:3622 n:848 a:6
i:428 p:3622 n:943 a:6
i:429 p:3622 n:997 a:6
i:430 p:3388 n:697 a:16
i:431 p:6 n:767 a:10
i:432 p:3091 n:704 a:18
i:433 p:1716 n:789 a:17
i:434 p:2924 n:643 a:19
i:435 p:3316 n:465 a:13
i:436 p:3385 n:508 a:13
i:437 p:3315 n:504 a:13
i:438 p:3340 n:496 a:13
i:439 p:3303 n:515 a:13
i:440 p:3316 n:338 a:14
i:441 p:3316 n:338 a:14
i:442 p:3627 n:1041 a:29
i:443 p:412 n:487 a:12
i:444 p:3527 n:394 a:0
i:445 p:2231 n:655 a:23
i:446 p:3616 n:853 a:5
i:447 p:628 n:854 a:7
i:448 p:3169 n:788 a:18
i:449 p:628 n:1068 a:7
i:450 p:1710 n:613 a:9
i:451 p:3555 n:631 a:25
i:452 p:3385 n:496 a:13
i:453 p:3385 n:447 a:13
i:454 p:3373 n:511 a:13
i:455 p:948 n:423 a:19
i:456 p:3568 n:400 a:4
i:457 p:3320 n:954 a:17
i:458 p:3327 n:811 a:17
i:459 p:3091 n:760 a:19
i:460 p:3169 n:687 a:19
i:461 p:3255 n:711 a:18
i:462 p:551 n:1438 a:7
i:463 p:3184 n:357 a:7
i:464 p:3542 n:365 a:21
i:465 p:3390 n:1005 a:18
i:466 p:3390 n:1035 a:18
i:467 p:3581 n:1176 a:29
i:468 p:3327 n:829 a:18
i:469 p:3361 n:884 a:19
i:470 p:551 n:1326 a:7
i:471 p:1908 n:1248 a:21
i:472 p:1830 n:1064 a:21
i:473 p:1830 n:1073 a:21
i:474 p:1908 n:896 a:21
i:475 p:454 n:888 a:24
i:476 p:1700 n:723 a:14
i:477 p:3500 n:394 a:7
